order_id,date,region,category,product,quantity,unit_price,discount_pct,revenue,customer_segment,payment_method,shipping_days,shipping_cost,customer_rating
ORD-101852,2024-01-12,Middle East,Clothing,Dress,2,81.21,15,138.06,Consumer,Credit Card,6,37.08,4.7
ORD-101329,2024-01-12,Europe,Sports & Outdoors,Dumbbells,4,294.1,0,1176.4,SMB,Apple Pay,2,36.14,3.5
ORD-100052,2024-01-13,North America,Home & Kitchen,Coffee Maker,7,490.7,15,2919.66,SMB,Apple Pay,3,36.93,4.6
ORD-100424,2024-01-13,North America,Sports & Outdoors,Running Shoes,6,561.74,5,3201.92,Consumer,PayPal,7,17.49,3.3
ORD-100780,2024-01-13,Asia Pacific,Electronics,Smartphone,1,1849.95,0,1849.95,Enterprise,PayPal,7,28.44,4.4
ORD-101484,2024-01-13,North America,Clothing,Dress,6,84.72,5,482.9,Consumer,PayPal,9,19.61,4.2
ORD-100241,2024-01-14,Middle East,Electronics,Camera,1,783.02,5,743.87,Consumer,Credit Card,2,27.68,4.2
ORD-100608,2024-01-14,North America,Clothing,Hoodie,5,103.82,5,493.14,SMB,PayPal,2,6.02,4.6
ORD-101922,2024-01-14,North America,Home & Kitchen,Blender,9,184.78,20,1330.42,Consumer,Google Pay,1,21.76,3.9
ORD-100097,2024-01-15,Europe,Electronics,Smartphone,8,1773.0,0,14184.0,Consumer,Bank Transfer,6,37.66,4.2
ORD-100676,2024-01-15,Latin America,Electronics,Smartwatch,1,1839.61,0,1839.61,Consumer,Apple Pay,13,32.73,4.4
ORD-100508,2024-01-15,Latin America,Books,Non-Fiction,8,32.85,20,210.24,Consumer,Credit Card,1,8.16,5.0
ORD-101038,2024-01-16,Asia Pacific,Electronics,Tablet,2,465.25,20,744.4,Consumer,Bank Transfer,3,40.88,4.9
ORD-101384,2024-01-16,Asia Pacific,Books,Biography,3,28.87,0,86.61,SMB,Credit Card,12,35.11,3.8
ORD-100517,2024-01-16,Europe,Books,Cookbook,5,24.08,20,96.32,SMB,Apple Pay,3,7.35,5.0
ORD-101769,2024-01-17,Europe,Sports & Outdoors,Yoga Mat,2,507.4,5,964.06,Consumer,Apple Pay,10,9.06,4.1
ORD-100690,2024-01-18,Asia Pacific,Books,Children's Book,3,16.41,0,49.23,Enterprise,PayPal,5,16.73,3.1
ORD-100963,2024-01-19,Europe,Sports & Outdoors,Dumbbells,9,482.62,0,4343.58,Consumer,Apple Pay,5,48.24,4.1
ORD-100339,2024-01-20,Middle East,Home & Kitchen,Coffee Maker,2,89.62,0,179.24,SMB,Apple Pay,8,8.98,5.0
ORD-100048,2024-01-20,North America,Books,Fiction,6,10.44,10,56.38,Consumer,Google Pay,12,13.92,4.1
ORD-100528,2024-01-20,Europe,Clothing,Jeans,8,119.03,5,904.63,SMB,Credit Card,1,22.89,3.3
ORD-100082,2024-01-21,Latin America,Home & Kitchen,Microwave,3,181.57,0,544.71,Consumer,Credit Card,4,40.27,4.3
ORD-100303,2024-01-22,Europe,Home & Kitchen,Coffee Maker,4,121.48,0,485.92,Consumer,PayPal,3,23.11,4.7
ORD-100506,2024-01-22,North America,Clothing,Hoodie,8,49.91,15,339.39,SMB,Google Pay,11,43.41,5.0
ORD-101548,2024-01-22,Asia Pacific,Home & Kitchen,Vacuum Cleaner,2,74.5,10,134.1,Consumer,Credit Card,10,20.95,3.7
ORD-101533,2024-01-22,Latin America,Sports & Outdoors,Tent,3,450.24,0,1350.72,Consumer,Bank Transfer,13,5.1,4.4
ORD-101660,2024-01-23,Asia Pacific,Electronics,Camera,6,1626.37,0,9758.22,Consumer,Bank Transfer,11,41.14,3.7
ORD-100968,2024-01-23,Europe,Sports & Outdoors,Dumbbells,2,140.65,15,239.1,Consumer,Credit Card,2,37.87,4.1
ORD-101459,2024-01-24,North America,Home & Kitchen,Microwave,6,498.96,5,2844.07,SMB,Credit Card,2,37.17,3.3
ORD-100266,2024-01-25,Europe,Clothing,T-Shirt,7,132.36,10,833.87,SMB,Apple Pay,7,6.64,3.7
ORD-100917,2024-01-26,Europe,Sports & Outdoors,Tent,6,567.1,0,3402.6,Consumer,Credit Card,8,48.78,3.8
ORD-100729,2024-01-26,Europe,Clothing,T-Shirt,4,116.25,0,465.0,Consumer,PayPal,3,36.3,4.4
ORD-100046,2024-01-27,North America,Books,Cookbook,1,20.27,15,17.23,Consumer,Google Pay,1,46.33,3.8
ORD-100249,2024-01-27,North America,Home & Kitchen,Coffee Maker,4,207.95,0,831.8,Consumer,PayPal,2,14.1,4.2
ORD-100237,2024-01-27,North America,Home & Kitchen,Blender,7,336.13,0,2352.91,Consumer,PayPal,6,41.46,4.1
ORD-100903,2024-01-27,Europe,Clothing,Jacket,4,45.35,0,181.4,Consumer,Apple Pay,11,30.99,4.6
ORD-100961,2024-01-28,Europe,Electronics,Camera,7,873.01,0,6111.07,SMB,Credit Card,9,10.13,5.0
ORD-100378,2024-01-28,Asia Pacific,Books,Non-Fiction,7,11.75,15,69.91,Consumer,Google Pay,5,24.77,4.2
ORD-100801,2024-01-28,Europe,Home & Kitchen,Air Fryer,6,37.04,20,177.79,SMB,Apple Pay,7,16.59,2.8
ORD-100195,2024-01-29,Latin America,Books,Biography,2,29.14,0,58.28,SMB,PayPal,12,7.27,5.0
ORD-101072,2024-01-29,North America,Electronics,Laptop,7,955.68,0,6689.76,SMB,Bank Transfer,11,19.21,4.4
ORD-101174,2024-01-29,North America,Books,Non-Fiction,7,13.47,5,89.58,Consumer,Credit Card,3,13.15,4.2
ORD-101652,2024-01-29,Europe,Clothing,Sneakers,5,68.32,20,273.28,Consumer,PayPal,8,9.86,5.0
ORD-100337,2024-01-30,North America,Sports & Outdoors,Tent,4,35.8,0,143.2,Consumer,Credit Card,4,28.81,3.7
ORD-100112,2024-01-31,Europe,Sports & Outdoors,Yoga Mat,8,626.34,0,5010.72,Consumer,Bank Transfer,11,10.93,4.2
ORD-100208,2024-01-31,Asia Pacific,Books,Cookbook,8,25.24,5,191.82,Consumer,Bank Transfer,3,12.64,4.6
ORD-100733,2024-01-31,Middle East,Electronics,Smartphone,3,364.11,20,873.86,SMB,PayPal,5,14.21,4.2
ORD-100863,2024-01-31,Europe,Clothing,Hoodie,2,92.68,5,176.09,SMB,PayPal,2,34.52,4.0
ORD-100488,2024-01-31,North America,Electronics,Smartwatch,5,573.27,10,2579.72,SMB,Bank Transfer,3,16.2,4.2
ORD-100711,2024-02-01,Europe,Books,Cookbook,1,29.82,20,23.86,Consumer,PayPal,3,19.96,4.3
ORD-101026,2024-02-01,North America,Books,Biography,6,8.23,15,41.97,SMB,Apple Pay,10,36.23,5.0
ORD-101969,2024-02-01,Europe,Electronics,Camera,1,205.03,0,205.03,Consumer,Bank Transfer,5,38.46,4.2
ORD-100788,2024-02-01,Europe,Books,Non-Fiction,8,27.98,0,223.84,Consumer,Google Pay,1,23.83,3.8
ORD-101234,2024-02-01,Latin America,Clothing,Jacket,8,36.98,0,295.84,Consumer,Bank Transfer,5,31.75,4.7
ORD-101760,2024-02-01,Latin America,Sports & Outdoors,Yoga Mat,6,108.35,20,520.08,Consumer,PayPal,2,41.3,5.0
ORD-100051,2024-02-02,Europe,Electronics,Laptop,5,1108.16,15,4709.68,SMB,Bank Transfer,3,13.69,3.4
ORD-100640,2024-02-02,Europe,Clothing,Dress,7,38.56,20,215.94,Consumer,Google Pay,6,7.86,4.6
ORD-101161,2024-02-02,Latin America,Electronics,Headphones,1,1106.85,0,1106.85,Consumer,Google Pay,11,40.85,4.2
ORD-101580,2024-02-02,North America,Clothing,Jeans,1,82.47,0,82.47,SMB,Bank Transfer,12,38.19,4.6
ORD-100828,2024-02-02,Europe,Electronics,Laptop,4,1742.12,20,5574.78,Consumer,Credit Card,12,17.3,4.3
ORD-100954,2024-02-03,Europe,Home & Kitchen,Air Fryer,4,358.3,0,1433.2,SMB,Apple Pay,1,42.09,4.2
ORD-101056,2024-02-03,Middle East,Clothing,Sneakers,9,127.88,0,1150.92,SMB,Bank Transfer,2,27.0,3.1
ORD-100691,2024-02-04,Middle East,Clothing,T-Shirt,9,128.77,0,1158.93,Consumer,PayPal,7,6.24,3.5
ORD-101720,2024-02-04,North America,Electronics,Camera,9,798.02,0,7182.18,SMB,PayPal,9,28.06,3.3
ORD-100723,2024-02-05,North America,Home & Kitchen,Microwave,1,353.99,5,336.29,Consumer,PayPal,12,32.11,4.0
ORD-100932,2024-02-05,Asia Pacific,Home & Kitchen,Coffee Maker,6,108.81,15,554.93,Consumer,PayPal,2,46.97,3.1
ORD-101009,2024-02-05,Asia Pacific,Home & Kitchen,Air Fryer,3,66.18,15,168.76,SMB,Apple Pay,6,29.14,4.6
ORD-100560,2024-02-06,North America,Books,Non-Fiction,4,8.12,0,32.48,Consumer,Bank Transfer,7,17.4,3.4
ORD-100970,2024-02-06,Middle East,Electronics,Smartwatch,8,1891.38,20,12104.83,Enterprise,Apple Pay,9,20.72,5.0
ORD-100616,2024-02-06,Europe,Clothing,Jacket,2,28.9,10,52.02,Consumer,Google Pay,1,38.83,4.2
ORD-100699,2024-02-07,Asia Pacific,Home & Kitchen,Vacuum Cleaner,1,286.64,0,286.64,Consumer,Google Pay,1,27.39,3.9
ORD-100242,2024-02-07,Middle East,Electronics,Headphones,4,1874.19,15,6372.25,Consumer,Bank Transfer,10,25.17,4.3
ORD-100814,2024-02-07,North America,Books,Fiction,9,23.21,10,188.0,SMB,Credit Card,7,31.85,3.4
ORD-100591,2024-02-08,North America,Home & Kitchen,Vacuum Cleaner,4,123.14,20,394.05,SMB,Google Pay,10,11.78,5.0
ORD-100846,2024-02-08,Asia Pacific,Electronics,Camera,2,1322.05,10,2379.69,SMB,Bank Transfer,8,8.07,3.5
ORD-100708,2024-02-09,Latin America,Clothing,Jeans,2,17.79,20,28.46,Enterprise,Google Pay,10,24.16,4.7
ORD-101395,2024-02-09,Latin America,Clothing,Dress,4,127.2,10,457.92,Consumer,Google Pay,6,9.84,5.0
ORD-101090,2024-02-11,Europe,Electronics,Smartphone,5,384.16,10,1728.72,Consumer,Google Pay,13,43.98,3.6
ORD-100767,2024-02-11,Europe,Clothing,Jeans,9,31.6,10,255.96,SMB,PayPal,12,46.53,3.1
ORD-101689,2024-02-12,Asia Pacific,Books,Cookbook,6,20.02,20,96.1,Consumer,Bank Transfer,9,13.73,4.4
ORD-101129,2024-02-12,Asia Pacific,Electronics,Laptop,2,327.8,10,590.04,Consumer,Apple Pay,10,38.44,3.4
ORD-101456,2024-02-12,Asia Pacific,Books,Non-Fiction,6,18.7,10,100.98,Consumer,Google Pay,13,31.63,4.6
ORD-101377,2024-02-12,Latin America,Sports & Outdoors,Bike,2,566.14,0,1132.28,Consumer,PayPal,13,42.64,2.9
ORD-100597,2024-02-12,Latin America,Electronics,Tablet,9,1611.07,0,14499.63,Consumer,Google Pay,6,20.47,3.9
ORD-101439,2024-02-12,Asia Pacific,Books,Biography,8,8.11,0,64.88,Consumer,Apple Pay,7,14.1,2.9
ORD-101992,2024-02-13,North America,Sports & Outdoors,Bike,9,663.48,0,5971.32,Consumer,PayPal,8,9.92,3.5
ORD-101582,2024-02-13,North America,Clothing,Jacket,6,117.06,0,702.36,Consumer,Google Pay,13,22.74,3.9
ORD-101319,2024-02-14,Asia Pacific,Clothing,Sneakers,9,94.89,5,811.31,SMB,Apple Pay,2,8.54,4.5
ORD-100853,2024-02-14,Latin America,Home & Kitchen,Vacuum Cleaner,7,459.07,0,3213.49,Enterprise,PayPal,1,36.94,4.7
ORD-101322,2024-02-14,North America,Home & Kitchen,Vacuum Cleaner,6,442.85,5,2524.25,Consumer,Bank Transfer,12,35.77,4.2
ORD-101815,2024-02-14,North America,Home & Kitchen,Coffee Maker,3,444.06,0,1332.18,Consumer,Apple Pay,3,34.5,4.1
ORD-101780,2024-02-15,Asia Pacific,Books,Cookbook,1,26.03,0,26.03,Consumer,Bank Transfer,12,45.2,3.3
ORD-101781,2024-02-15,North America,Sports & Outdoors,Dumbbells,1,53.18,5,50.52,Consumer,Credit Card,11,32.02,3.8
ORD-101242,2024-02-15,Europe,Home & Kitchen,Vacuum Cleaner,1,395.03,20,316.02,Consumer,Bank Transfer,4,32.39,4.9
ORD-101353,2024-02-15,North America,Books,Fiction,1,32.26,15,27.42,SMB,Google Pay,11,31.0,5.0
ORD-101340,2024-02-15,Asia Pacific,Sports & Outdoors,Yoga Mat,5,758.77,0,3793.85,Consumer,Apple Pay,5,37.48,3.3
ORD-101416,2024-02-16,North America,Electronics,Laptop,7,1460.55,0,10223.85,Consumer,Apple Pay,9,8.87,4.2
ORD-100187,2024-02-17,North America,Books,Cookbook,1,30.52,10,27.47,Consumer,PayPal,11,46.1,4.1
ORD-101123,2024-02-17,Asia Pacific,Sports & Outdoors,Bike,5,454.23,0,2271.15,Consumer,Credit Card,9,34.45,3.4
ORD-101637,2024-02-17,Europe,Books,Children's Book,8,8.62,20,55.17,Enterprise,Credit Card,11,42.5,4.5
ORD-100661,2024-02-18,North America,Home & Kitchen,Air Fryer,9,114.49,0,1030.41,Consumer,Bank Transfer,9,37.01,4.0
ORD-100883,2024-02-18,North America,Electronics,Tablet,3,500.37,0,1501.11,SMB,Apple Pay,11,12.76,4.0
ORD-100230,2024-02-19,North America,Books,Children's Book,6,19.27,10,104.06,SMB,Bank Transfer,10,43.2,3.5
ORD-100316,2024-02-19,Asia Pacific,Sports & Outdoors,Dumbbells,9,702.38,0,6321.42,Consumer,Credit Card,13,35.99,3.9
ORD-100654,2024-02-20,North America,Electronics,Smartwatch,1,1102.22,0,1102.22,Consumer,Google Pay,8,43.28,4.7
ORD-101308,2024-02-20,North America,Electronics,Smartwatch,3,726.41,0,2179.23,Consumer,Apple Pay,7,7.17,3.7
ORD-100705,2024-02-20,Latin America,Books,Biography,4,31.06,15,105.6,SMB,Google Pay,10,33.17,4.4
ORD-101609,2024-02-20,Europe,Sports & Outdoors,Running Shoes,7,144.0,0,1008.0,Enterprise,Bank Transfer,6,11.85,4.3
ORD-101579,2024-02-20,North America,Clothing,Dress,3,64.96,5,185.14,Consumer,Bank Transfer,2,31.27,4.4
ORD-101958,2024-02-20,Asia Pacific,Home & Kitchen,Air Fryer,5,370.48,10,1667.16,Consumer,Credit Card,10,24.2,3.9
ORD-101682,2024-02-21,North America,Books,Children's Book,1,8.92,15,7.58,Consumer,Credit Card,13,24.24,4.7
ORD-101201,2024-02-21,North America,Clothing,Dress,4,117.95,0,471.8,SMB,Apple Pay,4,12.97,3.4
ORD-101142,2024-02-22,North America,Home & Kitchen,Blender,3,315.37,15,804.19,Consumer,Google Pay,6,8.46,5.0
ORD-101037,2024-02-22,North America,Clothing,T-Shirt,8,91.68,0,733.44,SMB,PayPal,10,36.25,3.6
ORD-101388,2024-02-23,Asia Pacific,Books,Fiction,3,29.18,0,87.54,Consumer,Apple Pay,9,16.1,3.2
ORD-100223,2024-02-23,North America,Sports & Outdoors,Tent,1,36.94,15,31.4,SMB,PayPal,6,8.23,3.6
ORD-101565,2024-02-24,North America,Books,Non-Fiction,4,20.18,5,76.68,Consumer,Bank Transfer,5,6.86,3.4
ORD-101244,2024-02-24,Latin America,Clothing,Hoodie,3,78.79,0,236.37,SMB,Credit Card,5,40.62,3.9
ORD-101205,2024-02-24,North America,Sports & Outdoors,Dumbbells,1,350.99,5,333.44,SMB,Bank Transfer,3,43.33,3.7
ORD-101041,2024-02-25,Europe,Home & Kitchen,Coffee Maker,5,220.92,0,1104.6,Consumer,Credit Card,12,39.83,3.9
ORD-100511,2024-02-26,Middle East,Clothing,T-Shirt,3,135.48,10,365.8,Consumer,Apple Pay,7,15.93,4.9
ORD-100656,2024-02-26,Asia Pacific,Home & Kitchen,Air Fryer,5,318.45,0,1592.25,Consumer,Bank Transfer,12,33.51,3.9
ORD-101122,2024-02-26,Asia Pacific,Electronics,Smartwatch,4,1351.25,0,5405.0,SMB,Bank Transfer,7,33.14,3.9
ORD-100164,2024-02-26,North America,Sports & Outdoors,Running Shoes,6,329.84,15,1682.18,Enterprise,Bank Transfer,11,17.87,4.8
ORD-100152,2024-02-27,Europe,Home & Kitchen,Air Fryer,1,108.05,5,102.65,Consumer,Apple Pay,10,16.58,3.8
ORD-100258,2024-02-27,North America,Books,Non-Fiction,2,33.3,0,66.6,Consumer,Google Pay,5,24.92,3.5
ORD-101423,2024-02-28,Latin America,Books,Non-Fiction,3,27.33,0,81.99,Enterprise,Credit Card,11,34.87,4.6
ORD-100908,2024-02-28,North America,Sports & Outdoors,Tent,4,596.01,0,2384.04,Consumer,Bank Transfer,11,41.73,4.1
ORD-101874,2024-02-29,Europe,Books,Cookbook,3,26.78,0,80.34,Consumer,Apple Pay,5,44.48,4.0
ORD-101125,2024-03-01,Asia Pacific,Home & Kitchen,Coffee Maker,5,135.53,15,576.0,SMB,Credit Card,5,39.8,4.2
ORD-100823,2024-03-01,Middle East,Clothing,T-Shirt,7,111.95,0,783.65,Consumer,Bank Transfer,1,29.9,4.4
ORD-101460,2024-03-01,Europe,Clothing,Hoodie,1,17.46,15,14.84,SMB,Bank Transfer,6,15.17,4.2
ORD-101930,2024-03-02,Asia Pacific,Electronics,Laptop,2,706.72,0,1413.44,Consumer,Apple Pay,11,37.22,3.8
ORD-101711,2024-03-02,Europe,Sports & Outdoors,Dumbbells,3,626.41,0,1879.23,SMB,Bank Transfer,11,37.89,4.3
ORD-100418,2024-03-03,Latin America,Sports & Outdoors,Running Shoes,2,779.21,0,1558.42,Consumer,Google Pay,3,39.29,4.4
ORD-100004,2024-03-03,North America,Clothing,Sneakers,2,32.54,10,58.57,SMB,Bank Transfer,3,36.51,4.6
ORD-101325,2024-03-04,Europe,Books,Non-Fiction,8,33.96,20,217.34,Consumer,PayPal,11,12.36,3.8
ORD-101217,2024-03-04,Middle East,Sports & Outdoors,Bike,1,359.35,5,341.38,Consumer,Google Pay,1,16.0,4.6
ORD-101170,2024-03-04,Asia Pacific,Home & Kitchen,Vacuum Cleaner,6,114.44,0,686.64,Consumer,Bank Transfer,8,33.91,4.7
ORD-100993,2024-03-05,Latin America,Home & Kitchen,Microwave,7,338.19,5,2248.96,SMB,Bank Transfer,9,34.4,3.2
ORD-100448,2024-03-05,Europe,Home & Kitchen,Coffee Maker,7,425.24,10,2679.01,Consumer,Apple Pay,8,29.52,3.9
ORD-101410,2024-03-05,North America,Clothing,Sneakers,9,22.13,15,169.29,Consumer,Google Pay,5,46.15,5.0
ORD-101546,2024-03-06,Asia Pacific,Clothing,Sneakers,3,148.98,0,446.94,Consumer,Credit Card,1,27.51,4.0
ORD-101710,2024-03-06,Europe,Sports & Outdoors,Tent,3,208.02,0,624.06,Consumer,PayPal,12,9.67,3.8
ORD-100663,2024-03-07,Europe,Home & Kitchen,Coffee Maker,2,445.19,5,845.86,Consumer,PayPal,4,46.03,4.5
ORD-101044,2024-03-07,North America,Books,Biography,7,14.61,0,102.27,Consumer,PayPal,13,12.88,3.8
ORD-100793,2024-03-07,North America,Home & Kitchen,Microwave,9,224.42,0,2019.78,Consumer,Bank Transfer,12,19.28,3.7
ORD-100561,2024-03-08,Latin America,Books,Biography,6,16.33,20,78.38,Consumer,PayPal,13,19.35,5.0
ORD-101115,2024-03-08,North America,Books,Fiction,7,10.92,20,61.15,SMB,Apple Pay,9,14.3,4.4
ORD-101114,2024-03-08,Latin America,Clothing,T-Shirt,9,137.13,10,1110.75,SMB,PayPal,9,12.24,3.6
ORD-101018,2024-03-10,North America,Electronics,Laptop,4,1973.89,5,7500.78,SMB,Credit Card,3,39.93,4.3
ORD-100345,2024-03-11,Asia Pacific,Books,Fiction,8,34.64,0,277.12,Consumer,Apple Pay,4,19.6,4.2
ORD-100044,2024-03-11,Europe,Sports & Outdoors,Tent,4,318.99,0,1275.96,Enterprise,Apple Pay,8,21.94,4.1
ORD-100668,2024-03-11,North America,Electronics,Smartphone,5,1740.09,0,8700.45,Consumer,Apple Pay,9,7.42,4.3
ORD-100888,2024-03-12,Latin America,Home & Kitchen,Microwave,8,47.22,10,339.98,Enterprise,Apple Pay,2,8.4,4.1
ORD-100605,2024-03-13,North America,Books,Non-Fiction,4,9.69,0,38.76,Consumer,PayPal,6,49.6,3.5
ORD-101934,2024-03-13,Latin America,Sports & Outdoors,Dumbbells,6,190.16,0,1140.96,SMB,Google Pay,8,21.9,4.8
ORD-101345,2024-03-13,Latin America,Home & Kitchen,Coffee Maker,6,134.79,0,808.74,Consumer,Credit Card,7,34.37,3.8
ORD-100382,2024-03-13,North America,Electronics,Smartwatch,3,1217.57,0,3652.71,SMB,Credit Card,1,20.24,3.6
ORD-101861,2024-03-14,Europe,Home & Kitchen,Microwave,3,205.45,20,493.08,Enterprise,Google Pay,9,26.56,5.0
ORD-100000,2024-03-14,North America,Books,Biography,4,31.18,0,124.72,Enterprise,Apple Pay,10,10.77,4.1
ORD-101789,2024-03-15,North America,Clothing,Hoodie,1,145.01,15,123.26,Consumer,Apple Pay,2,11.91,4.3
ORD-101895,2024-03-15,North America,Books,Non-Fiction,7,11.0,0,77.0,Consumer,Apple Pay,7,42.31,4.4
ORD-100812,2024-03-15,Europe,Home & Kitchen,Vacuum Cleaner,6,383.05,0,2298.3,Consumer,Apple Pay,3,16.72,3.5
ORD-100171,2024-03-15,Asia Pacific,Clothing,Jacket,8,142.67,0,1141.36,Consumer,Bank Transfer,3,34.39,4.8
ORD-101944,2024-03-15,Europe,Electronics,Laptop,5,1823.1,10,8203.95,SMB,Credit Card,7,45.83,4.4
ORD-101802,2024-03-15,Asia Pacific,Electronics,Smartwatch,4,209.53,5,796.21,Consumer,PayPal,11,35.11,4.9
ORD-100614,2024-03-16,Europe,Home & Kitchen,Microwave,8,460.26,0,3682.08,SMB,Bank Transfer,10,9.85,4.0
ORD-101317,2024-03-16,Europe,Sports & Outdoors,Dumbbells,8,428.21,15,2911.83,SMB,Google Pay,1,9.34,5.0
ORD-100957,2024-03-17,Europe,Home & Kitchen,Air Fryer,5,299.84,20,1199.36,Enterprise,PayPal,12,15.85,3.7
ORD-101276,2024-03-18,North America,Electronics,Smartphone,7,1951.66,5,12978.54,SMB,Bank Transfer,9,30.35,4.0
ORD-100133,2024-03-19,Europe,Electronics,Camera,3,772.99,5,2203.02,Consumer,PayPal,9,40.44,3.4
ORD-100041,2024-03-19,Europe,Electronics,Smartphone,1,1216.91,10,1095.22,Consumer,Apple Pay,10,27.15,4.4
ORD-101823,2024-03-19,North America,Sports & Outdoors,Bike,6,103.18,5,588.13,Consumer,Google Pay,13,27.89,4.9
ORD-100274,2024-03-19,North America,Books,Non-Fiction,8,17.98,5,136.65,Consumer,Bank Transfer,7,17.96,4.8
ORD-100732,2024-03-20,Europe,Electronics,Headphones,4,1403.66,0,5614.64,SMB,Google Pay,6,40.63,3.2
ORD-100161,2024-03-20,North America,Electronics,Tablet,4,1656.15,20,5299.68,SMB,Google Pay,12,24.31,4.3
ORD-101931,2024-03-20,North America,Home & Kitchen,Vacuum Cleaner,2,449.95,20,719.92,Consumer,Bank Transfer,12,7.67,4.2
ORD-101608,2024-03-20,Europe,Electronics,Laptop,8,750.05,10,5400.36,Consumer,Credit Card,5,25.91,4.4
ORD-101817,2024-03-20,Asia Pacific,Electronics,Headphones,1,426.73,0,426.73,Consumer,Credit Card,8,45.34,4.8
ORD-100105,2024-03-22,North America,Clothing,Hoodie,5,52.55,0,262.75,Consumer,Credit Card,7,7.03,4.0
ORD-101495,2024-03-22,North America,Books,Children's Book,9,29.08,20,209.38,Enterprise,Bank Transfer,5,44.72,3.9
